"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"55","Cluster","12-06",13.3770763888889,80.7725694444444,9.90868055555556,2450.48298611111,0,31689.1,9.373,18.045,2.12815320169708,4751.23173208164,1.60531380089435,6.87604367716007,90,60.5,12.6,6.4,6,"OC"
"56","Cluster","12-07",15.4481909722222,65.0329861111111,7.49618055555556,25035.4756944444,0,176356.7,6.471,32.497,7.59168364227449,47321.4791618257,1.94248825539265,19.5971569288299,97,29,13.9,5.4,7,"OC"
"57","Cluster","12-08",13.6307951388889,72.9618055555556,7.53645833333333,26255.7659722222,0,176356.7,5.45,33.118,7.8555856061611,49911.4958323086,2.52533310149754,19.840968759814,94,31.5,13.7,4,8,"OC"
"58","Cluster","12-09",13.0362673611111,76.9704861111111,8.27118055555556,15259.8170138889,0,143289.8,4.934,26.097,5.75515646941961,29638.6773837192,2.26507401069067,16.1533374435213,98,41.5,12.3,4.2,9,"OC"
"59","Cluster","12-10",12.191375,72.0173611111111,6.68923611111111,5215.51145833333,0,79911.6,6.573,27.764,4.37504776101357,11215.4514459574,2.17982244581452,16.6169085199724,95.5,42,12.5,2.8,10,"OC"
"60","Cluster","12-11",14.44353125,59.1510416666667,5.22673611111111,23711.6954861111,0,176356.7,6.573,31.778,7.33547072746154,46047.6257122562,1.42257083367048,17.0319621330834,82.5,24,9.3,2.7,11,"OC"
"61","Cluster","12-12",15.4397465277778,54.7621527777778,5.26527777777778,24438.4118055556,0,176356.7,6.471,30.558,6.79739083282212,46529.2751509269,1.81999423533354,13.5555326356367,83.5,28.5,9.3,2,12,"OC"
"62","Cluster","12-13",14.2604895833333,62.5034722222222,5.91770833333333,25123.6430555556,0,176356.7,5.552,34.691,7.65891547302147,48100.7541784836,2.73471659762725,17.5865204684548,89,27,11.8,1.9,13,"OC"
"63","Cluster","12-14",12.8202847222222,80.5104166666667,9.28125,2033.715625,0,23422.4,7.5,23.869,4.15603605814004,4118.16555017541,2.63387127144902,8.51468678901242,94,60.5,15,4.4,14,"OC"
"64","Cluster","12-15",12.8183402777778,81.9930555555556,8.35069444444444,19534.7204861111,0,176356.7,4.831,27.173,6.66873138363533,45422.9992897621,2.05020595643506,16.7400171625711,100,44,11.4,4.4,15,"OC"
"65","Cluster","12-16",13.9026145833333,81.4201388888889,9.60486111111111,14931.8190972222,0,176356.7,6.37,27.468,5.17836459399664,34435.8689885655,1.91148481465863,14.0210969954655,98,47.5,12.3,5.6,16,"OC"
"66","Cluster","12-17",14.8289236111111,92.109375,12.2486111111111,11910.5083333333,0,176356.7,8.182,29.352,4.79113286244941,31041.6880678204,2.06633834640587,7.61115188769028,100.5,69,17.3,8.2,17,"OC"
"67","Cluster","12-18",14.43165625,72.65625,7.81493055555556,17069.471875,0,187379,6.573,31.472,7.36202139313127,40517.0773274988,2.27202790399995,18.0641972455306,99.5,40,15.7,2.8,18,"OC"
"68","Cluster","12-19",14.4562430555556,69.8229166666667,7.18298611111111,21681.9038194444,0,187379,5.655,35.222,8.29749252602639,49650.4213949269,2.26628572390703,18.1461324000499,95,31,11.8,3.8,19,"OC"
"69","Cluster","12-20",12.3476736111111,83.7586805555556,8.73819444444444,13531.4565972222,0,187379,4.727,27.665,5.59309664072345,32505.3390497691,2.89036598788824,16.1846357109515,99,40.5,12.7,4.1,20,"OC"
"70","Cluster","12-21",15.3008125,84.0989583333333,11.3072916666667,16244.7600694444,0,170845.6,10.161,30.457,5.90921965755521,40007.5409245645,1.23417464909142,15.7239835107944,99.5,42,14.5,9.5,21,"OC"
"71","Cluster","12-22",14.5866111111111,78.5920138888889,9.39479166666667,19003.0590277778,0,176356.7,6.674,31.064,6.78777009676713,44051.585681573,1.69364685743526,17.5136891836673,101,38.5,13.3,6.4,22,"OC"
"72","Cluster","12-23",13.6838680555556,72.8888888888889,8.08125,9523.18715277778,0,165334.4,6.978,30.054,5.07736522491039,22784.4088435531,1.48476437905953,11.8638390711765,94,46.5,12.3,5.5,23,"OC"
"73","Cluster","12-24",15.1944236111111,79.78125,9.95833333333333,20060.8427083333,0,176356.7,6.877,33.848,6.88768362733379,46068.2659449902,3.12891427329301,16.478390320689,97.5,34.5,13.8,5,24,"OC"
"74","Cluster","12-25",12.6189861111111,83.5659722222222,8.63263888888889,9916.18576388889,0,176356.7,6.674,28.754,4.65424498379108,24856.2634233447,1.55987714432302,13.9644579365846,100.5,49,11.9,5,25,"OC"
"75","Cluster","12-26",12.7047673611111,66.3420138888889,4.35972222222222,24288.3145833333,0,198401.3,4.831,29.053,7.45408643285534,51636.625550482,1.21016711746245,20.7833575231984,96,31.5,9,0.4,26,"OC"
"76","Cluster","12-27",12.8637951388889,60.265625,3.63611111111111,22923.3114583333,0,187379,4.102,28.953,6.54999263688529,49633.769398099,2.99713245324846,16.0656243148356,89,35,9.3,-2.8,27,"OC"
"77","Cluster","12-28",10.8775520833333,45.9861111111111,-2.19131944444444,24151.8572916667,0,187379,1.33,26.195,7.06054865188043,51419.632285822,1.44994088382569,15.2161481759233,81,24.5,0.5,-5.7,28,"OC"
"78","Cluster","12-29",10.8877083333333,55.8246527777778,0.788888888888889,24764.1701388889,0,198401.3,0.784,29.252,7.69845844868067,52224.3586431675,2.98705945650075,13.1284719934386,80,21.5,7.3,-3.7,29,"OC"
"79","Cluster","12-30",11.5997256944444,61.2743055555556,2.93611111111111,24168.4927083333,0,187379,3.472,28.258,7.55979821581682,51014.8124625968,3.77282805250169,11.1814040900718,79,27.5,9.8,-1.8,30,"OC"
